url,model,mileage,price
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA6JF025977/2018-tesla-model-3/?zipcode=77477,2018 Tesla Model 3,"18,793 miles","$39,480"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA5KF313197/2019-tesla-model-3/?zipcode=76131,2019 Tesla Model 3,"13,905 miles","$37,990"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB3JF084168/2018-tesla-model-3/?sponsoredVehiclePosition=2,2018 Tesla Model 3,"27,579 miles","$41,000"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA3JF176226/2018-tesla-model-3/,2018 Tesla Model 3,"12,000 miles","$34,999"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EBXJF094695/2018-tesla-model-3/,2018 Tesla Model 3,"14,800 miles","$38,389"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB2KF465060/2019-tesla-model-3/,2019 Tesla Model 3,"13,456 miles","$44,500"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB7KF145104/2019-tesla-model-3/?zipcode=77477,2019 Tesla Model 3,"8,557 miles","$42,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB9KF452080/2019-tesla-model-3/?zipcode=77477,2019 Tesla Model 3,"14,235 miles","$41,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB5KF511934/2019-tesla-model-3/,2019 Tesla Model 3,"20,327 miles","$44,499"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB7JF100209/2018-tesla-model-3/,2018 Tesla Model 3,"18,921 miles","$41,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB0JF151096/2018-tesla-model-3/?zipcode=77477,2018 Tesla Model 3,"14,368 miles","$41,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB4JF185235/2018-tesla-model-3/,2018 Tesla Model 3,"14,554 miles","$43,990"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB2LF628694/2020-tesla-model-3/,2020 Tesla Model 3,"12,434 miles","$42,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB9JF113169/2018-tesla-model-3/?zipcode=77477,2018 Tesla Model 3,"32,589 miles","$39,480"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB9KF385478/2019-tesla-model-3/,2019 Tesla Model 3,"13,122 miles","$37,999"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB0JF146366/2018-tesla-model-3/,2018 Tesla Model 3,"14,399 miles","$40,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA8JF173645/2018-tesla-model-3/,2018 Tesla Model 3,"30,934 miles","$34,900"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA1JF034456/2018-tesla-model-3/,2018 Tesla Model 3,"30,054 miles","$34,199"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB8JF149175/2018-tesla-model-3/,2018 Tesla Model 3,"16,357 miles","$41,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB3KF361550/2019-tesla-model-3/,2019 Tesla Model 3,"20,513 miles","$41,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA0JF036280/2018-tesla-model-3/,2018 Tesla Model 3,"14,575 miles","$35,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA8JF173080/2018-tesla-model-3/,2018 Tesla Model 3,"12,780 miles","$35,480"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA0JF153888/2018-tesla-model-3/?zipcode=77477,2018 Tesla Model 3,"27,527 miles","$34,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB1JF088509/2018-tesla-model-3/,2018 Tesla Model 3,"26,988 miles","$39,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EBXJF111379/2018-tesla-model-3/,2018 Tesla Model 3,"8,402 miles","$41,480"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA0LF615546/2020-tesla-model-3/,2020 Tesla Model 3,"10,171 miles","$36,890"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB5JF128431/2018-tesla-model-3/,2018 Tesla Model 3,"46,217 miles","$37,980"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA0KF416236/2019-tesla-model-3/,2019 Tesla Model 3,"13,560 miles","$33,999"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EBXJF185286/2018-tesla-model-3/,2018 Tesla Model 3,"6,890 miles","$44,999"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB5KF388264/2019-tesla-model-3/,2019 Tesla Model 3,"35,244 miles","$40,480"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB0JF099291/2018-tesla-model-3/,2018 Tesla Model 3,"9,700 miles","$37,999"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB6KF364751/2019-tesla-model-3/,2019 Tesla Model 3,"18,520 miles","$42,991"
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA8JF173578/2018-tesla-model-3/?zipcode=77477,2018 Tesla Model 3,"14,461 miles","$35,480"
